Unique ID,Title,Category,Source,Owner,Status,URL
1,Mandelbrot Set,Types of fractal - Organic,http://en.wikipedia.org/wiki/Mandelbrot_set,Seita,Done,types/organic/mandelbrotset
2,Fractal Landscape,Applications,http://en.wikipedia.org/wiki/Fractal_landscape,Seita,Done,applications/landscape
3,Fractal Antenna,Applications,http://en.wikipedia.org/wiki/Fractal_antenna,Seita,Done,applications/antenna
4,Benoit Mandelbrot,What is fractal,http://en.wikipedia.org/wiki/Benoit_Mandelbrot,Seita,Done,what/benoit
5,Pythagoras tree (fractal),Types of fractal - Organic,http://en.wikipedia.org/wiki/Pythagoras_tree_(fractal),Seita,Done,types/organic/pythagorastree
6,Self-similarity,What is fractal,http://en.wikipedia.org/wiki/Self-similarity,Seita,Done,what/selfsimilarity
7,Fractal cosmology,Applications,http://en.wikipedia.org/wiki/Fractal_cosmology,Seita,Done,applications/cosmology
8,Coastline paradox,What is fractal,http://en.wikipedia.org/wiki/Coastline_paradox,Seita,Done,what/coastlineparadox
9,Fractal art,Applications,http://en.wikipedia.org/wiki/Fractal_art,Seita,Done,applications/art
10,L-system,Types of fractal - Non-Organic,http://en.wikipedia.org/wiki/L-system,Seita,Done,types/nonorganic/l-system
11,Fractal flame,Types of fractal - Organic,http://en.wikipedia.org/wiki/Fractal_flame,Seita,Done,types/organic/fractalflame
12,Brownian motion,Applications,http://en.wikipedia.org/wiki/Brownian_motion,Seita,Done,applications/brownianmotion
13,H tree,Types of fractal - Organic,http://en.wikipedia.org/wiki/H_tree,Seita,Done,types/organic/htree
14,Barnsley fern,Types of fractal - Organic,http://en.wikipedia.org/wiki/Barnsley_fern,Seita,Done,types/organic/barnsleyfern
15,T-square (fractal),Types of fractal - Non-Organic,http://en.wikipedia.org/wiki/T-square_(fractal),Seita,Done,types/nonorganic/t-square
